,fighter_name,fight#,outcome,opponent_name,event,date
0,Brian Ortega,9,win,Chan Sung Jung,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
1,Brian Ortega,8,loss,Max Holloway,UFC 231: Holloway vs. Ortega,"Dec. 08, 2018"
2,Brian Ortega,7,win,Frankie Edgar,UFC 222: Cyborg vs. Kunitskaya,"Mar. 03, 2018"
3,Brian Ortega,6,win,Cub Swanson,UFC Fight Night: Swanson vs. Ortega,"Dec. 09, 2017"
4,Brian Ortega,5,win,Renato Moicano,UFC 214: Cormier vs. Jones 2,"Jul. 29, 2017"
5,Brian Ortega,4,win,Clay Guida,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016"
6,Brian Ortega,3,win,Diego Brandao,UFC 195: Lawler vs Condit,"Jan. 02, 2016"
7,Brian Ortega,2,win,Thiago Tavares,UFC Fight Night: Boetsch vs Henderson,"Jun. 06, 2015"
8,Brian Ortega,1,nc,Mike de la Torre,UFC on FOX: Lawler vs Brown,"Jul. 26, 2014"
9,Chan Sung Jung,11,loss,Brian Ortega,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
10,Chan Sung Jung,10,win,Frankie Edgar,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
11,Chan Sung Jung,9,win,Renato Moicano,UFC Fight Night: Moicano vs. The Korean Zombie,"Jun. 22, 2019"
12,Chan Sung Jung,8,loss,Yair Rodriguez,UFC Fight Night: Korean Zombie vs. Rodriguez,"Nov. 10, 2018"
13,Chan Sung Jung,7,win,Dennis Bermudez,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb. 04, 2017"
14,Chan Sung Jung,6,loss,Jose Aldo,UFC 163: Aldo vs Jung,"Aug. 03, 2013"
15,Chan Sung Jung,5,win,Dustin Poirier,UFC on FUEL TV: Korean Zombie vs Poirier,"May. 15, 2012"
16,Chan Sung Jung,4,win,Mark Hominick,UFC 140: Jones vs Machida,"Dec. 10, 2011"
17,Chan Sung Jung,3,win,Leonard Garcia,UFC Fight Night: Nogueira vs Davis,"Mar. 26, 2011"
18,Chan Sung Jung,2,loss,George Roop,WEC 51: Aldo vs. Gamburyan,"Sep. 30, 2010"
19,Chan Sung Jung,1,loss,Leonard Garcia,WEC 48: Aldo vs. Faber,"Apr. 24, 2010"
20,Ciryl Gane,3,win,Tanner Boser,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
21,Ciryl Gane,2,win,Don'Tale Mayes,UFC Fight Night: Maia vs. Askren,"Oct. 26, 2019"
22,Ciryl Gane,1,win,Raphael Pessoa,UFC Fight Night: Shevchenko vs. Carmouche 2,"Aug. 10, 2019"
23,Katlyn Chookagian,11,loss,Jessica Andrade,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
24,Katlyn Chookagian,10,win,Antonina Shevchenko,UFC Fight Night: Woodley vs. Burns,"May. 30, 2020"
25,Katlyn Chookagian,9,loss,Valentina Shevchenko,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
26,Katlyn Chookagian,8,win,Jennifer Maia,UFC 244: Masvidal vs. Diaz,"Nov. 02, 2019"
27,Katlyn Chookagian,7,win,Joanne Calderwood,UFC 238: Cejudo vs. Moraes,"Jun. 08, 2019"
28,Katlyn Chookagian,6,loss,Jessica Eye,UFC 231: Holloway vs. Ortega,"Dec. 08, 2018"
29,Katlyn Chookagian,5,win,Alexis Davis,UFC Fight Night: Alvarez vs. Poirier 2,"Jul. 28, 2018"
30,Katlyn Chookagian,4,win,Mara Romero Borella,UFC Fight Night: Jacare vs. Brunson 2,"Jan. 27, 2018"
31,Katlyn Chookagian,3,win,Irene Aldana,UFC 210: Cormier vs. Johnson 2,"Apr. 08, 2017"
32,Katlyn Chookagian,2,loss,Liz Carmouche,UFC 205: Alvarez vs McGregor,"Nov. 12, 2016"
33,Katlyn Chookagian,1,win,Lauren Murphy,UFC Fight Night: McDonald vs. Lineker,"Jul. 13, 2016"
34,Jessica Andrade,18,win,Katlyn Chookagian,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
35,Jessica Andrade,17,loss,Rose Namajunas,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020"
36,Jessica Andrade,16,loss,Zhang Weili,UFC Fight Night: Andrade vs. Zhang,"Aug. 31, 2019"
37,Jessica Andrade,15,win,Rose Namajunas,UFC 237: Namajunas vs. Andrade,"May. 11, 2019"
38,Jessica Andrade,14,win,Karolina Kowalkiewicz,UFC 228: Woodley vs. Till,"Sep. 08, 2018"
39,Jessica Andrade,13,win,Tecia Torres,UFC Fight Night: Emmett vs. Stephens,"Feb. 24, 2018"
40,Jessica Andrade,12,win,Claudia Gadelha,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017"
41,Jessica Andrade,11,loss,Joanna Jedrzejczyk,UFC 211: Miocic vs. Dos Santos,"May. 13, 2017"
42,Jessica Andrade,10,win,Angela Hill,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb. 04, 2017"
43,Jessica Andrade,9,win,Joanne Calderwood,UFC 203: Miocic vs. Overeem,"Sep. 10, 2016"
44,Jessica Andrade,8,win,Jessica Penne,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016"
45,Jessica Andrade,7,loss,Raquel Pennington,UFC 191: Johnson vs Dodson 2,"Sep. 05, 2015"
46,Jessica Andrade,6,win,Sarah Moras,UFC Fight Night: Mir vs Duffee,"Jul. 15, 2015"
47,Jessica Andrade,5,loss,Marion Reneau,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015"
48,Jessica Andrade,4,win,Larissa Pacheco,UFC Fight Night: Bigfoot vs Arlovski,"Sep. 13, 2014"
49,Jessica Andrade,3,win,Raquel Pennington,UFC 171: Hendricks vs Lawler,"Mar. 15, 2014"
50,Jessica Andrade,2,win,Rosi Sexton,UFC Fight Night: Machida vs Munoz,"Oct. 26, 2013"
51,Jessica Andrade,1,loss,Liz Carmouche,UFC on FOX: Johnson vs Moraga,"Jul. 27, 2013"
52,Jimmy Crute,6,win,Modestas Bukauskas,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
53,Jimmy Crute,5,win,Michal Oleksiejczuk,UFC Fight Night: Felder vs. Hooker,"Feb. 22, 2020"
54,Jimmy Crute,4,loss,Misha Cirkunov,UFC Fight Night: Cowboy vs. Gaethje,"Sep. 14, 2019"
55,Jimmy Crute,3,win,Sam Alvey,UFC 234: Adesanya vs. Silva,"Feb. 09, 2019"
56,Jimmy Crute,2,win,Paul Craig,UFC Fight Night: Dos Santos vs. Tuivasa,"Dec. 01, 2018"
57,Jimmy Crute,1,win,Chris Birchler,DWCS 2.6,"Jul. 24, 2018"
58,Modestas Bukauskas,2,loss,Jimmy Crute,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
59,Modestas Bukauskas,1,win,Andreas Michailidis,UFC Fight Night: Kattar vs. Ige,"Jul. 15, 2020"
60,Thomas Almeida,9,loss,Jonathan Martinez,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
61,Thomas Almeida,8,loss,Rob Font,UFC 220: Miocic vs. Ngannou,"Jan. 20, 2018"
62,Thomas Almeida,7,loss,Jimmie Rivera,UFC Fight Night: Weidman vs. Gastelum,"Jul. 22, 2017"
63,Thomas Almeida,6,win,Albert Morales,UFC Fight Night: Bader vs. Nogueira,"Nov. 19, 2016"
64,Thomas Almeida,5,loss,Cody Garbrandt,UFC Fight Night: Almeida vs Garbrandt,"May. 29, 2016"
65,Thomas Almeida,4,win,Anthony Birchak,UFC Fight Night: Belfort vs Henderson 3,"Nov. 07, 2015"
66,Thomas Almeida,3,win,Brad Pickett,UFC 189: Mendes vs McGregor,"Jul. 11, 2015"
67,Thomas Almeida,2,win,Yves Jabouin,UFC 186: Johnson vs Horiguchi,"Apr. 25, 2015"
68,Thomas Almeida,1,win,Tim Gorman,UFC Fight Night 56: Shogun vs Saint Preux,"Nov. 08, 2014"
69,Jonathan Martinez,6,win,Thomas Almeida,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
70,Jonathan Martinez,5,win,Frankie Saenz,UFC Fight Night: Brunson vs. Shahbazyan,"Aug. 01, 2020"
71,Jonathan Martinez,4,loss,Andre Ewell,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
72,Jonathan Martinez,3,win,Pingyuan Liu,UFC Fight Night: De Randamie vs. Ladd,"Jul. 13, 2019"
73,Jonathan Martinez,2,win,Wuliji Buren,UFC 234: Adesanya vs. Silva,"Feb. 09, 2019"
74,Jonathan Martinez,1,loss,Andre Soukhamthath,UFC Fight Night: Oezdemir vs. Smith,"Oct. 27, 2018"
75,Mateusz Gamrot,1,loss,Guram Kutateladze,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
76,Guram Kutateladze,1,win,Mateusz Gamrot,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
77,Gillian Robertson,8,win,Poliana Botelho,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
78,Gillian Robertson,7,win,Cortney Casey,UFC Fight Night: Blaydes vs. Volkov,"Jun. 20, 2020"
79,Gillian Robertson,6,loss,Maycee Barber,UFC Fight Night: Reyes vs. Weidman,"Oct. 18, 2019"
80,Gillian Robertson,5,win,Sarah Frota,UFC 240: Holloway vs. Edgar,"Jul. 27, 2019"
81,Gillian Robertson,4,win,Veronica Macedo,UFC Fight Night: Blachowicz vs. Santos,"Feb. 23, 2019"
82,Gillian Robertson,3,loss,Mayra Bueno Silva,UFC Fight Night: Marreta vs. Anders,"Sep. 22, 2018"
83,Gillian Robertson,2,win,Molly McCann,UFC Fight Night: Thompson vs. Till,"May. 27, 2018"
84,Gillian Robertson,1,win,Emily Whitmire,The Ultimate Fighter: A New World Champion Finale,"Dec. 01, 2017"
85,Poliana Botelho,5,loss,Gillian Robertson,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
86,Poliana Botelho,4,win,Lauren Mueller,UFC 236: Holloway vs. Poirier 2,"Apr. 13, 2019"
87,Poliana Botelho,3,loss,Cynthia Calvillo,UFC Fight Night: Magny vs. Ponzinibbio,"Nov. 17, 2018"
88,Poliana Botelho,2,win,Syuri Kondo,UFC Fight Night: Maia vs. Usman,"May. 19, 2018"
89,Poliana Botelho,1,win,Pearl Gonzalez,UFC 216: Ferguson vs. Lee,"Oct. 07, 2017"
90,Claudio Silva,6,loss,James Krause,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
91,Claudio Silva,5,win,Cole Williams,UFC Fight Night: Covington vs. Lawler,"Aug. 03, 2019"
92,Claudio Silva,4,win,Danny Roberts,UFC Fight Night: Till vs. Masvidal,"Mar. 16, 2019"
93,Claudio Silva,3,win,Nordine Taleb,UFC Fight Night: Thompson vs. Till,"May. 27, 2018"
94,Claudio Silva,2,win,Leon Edwards,UFC Fight Night 56: Shogun vs Saint Preux,"Nov. 08, 2014"
95,Claudio Silva,1,win,Brad Scott,UFC Fight Night: Gustafsson vs Manuwa,"Mar. 08, 2014"
96,James Krause,15,win,Claudio Silva,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
97,James Krause,14,loss,Trevin Giles,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
98,James Krause,13,win,Sergio Moraes,UFC Fight Night: Blachowicz vs. Jacare,"Nov. 16, 2019"
99,James Krause,12,win,Warlley Alves,UFC Fight Night: Gaethje vs. Vick,"Aug. 25, 2018"
100,James Krause,11,win,Alex White,UFC Fight Night: Stephens vs. Choi,"Jan. 14, 2018"
101,James Krause,10,win,Tom Gallicchio,The Ultimate Fighter: Redemption Finale,"Jul. 07, 2017"
102,James Krause,9,win,Shane Campbell,UFC Fight Night: Cowboy vs Cowboy,"Feb. 21, 2016"
103,James Krause,8,win,Daron Cruickshank,UFC on FOX: Dillashaw vs. Barao II,"Jul. 25, 2015"
104,James Krause,7,loss,Valmir Lazaro,UFC 184: Rousey vs Zingano,"Feb. 28, 2015"
105,James Krause,6,loss,Jorge Masvidal,UFC 178: Johnson vs Cariaso,"Sep. 27, 2014"
106,James Krause,5,win,Jamie Varner,UFC 173: Barao vs Dillashaw,"May. 24, 2014"
107,James Krause,4,loss,Bobby Green,UFC Fight Night: Fight for the Troops 3,"Nov. 06, 2013"
108,James Krause,3,win,Sam Stout,UFC 161: Evans vs Henderson,"Jun. 15, 2013"
109,James Krause,2,loss,Ricardo Lamas,WEC 44: Brown vs. Aldo,"Nov. 18, 2009"
110,James Krause,1,loss,Donald Cerrone,WEC 41: Brown vs. Faber 2,"Jun. 07, 2009"
111,Junyong Park,3,win,John Phillips,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
112,Junyong Park,2,win,Marc-Andre Barriault,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
113,Junyong Park,1,loss,Anthony Hernandez,UFC Fight Night: Andrade vs. Zhang,"Aug. 31, 2019"
114,John Phillips,6,loss,Junyong Park,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
115,John Phillips,5,loss,Khamzat Chimaev,UFC Fight Night: Kattar vs. Ige,"Jul. 15, 2020"
116,John Phillips,4,win,Alen Amedovski,UFC Fight Night: Hermansson vs. Cannonier,"Sep. 28, 2019"
117,John Phillips,3,loss,Jack Marshman,UFC Fight Night: Till vs. Masvidal,"Mar. 16, 2019"
118,John Phillips,2,loss,Kevin Holland,UFC Fight Night: Blaydes vs. Ngannou 2,"Nov. 24, 2018"
119,John Phillips,1,loss,Charles Byrd,UFC Fight Night: Werdum vs. Volkov,"Mar. 17, 2018"
120,Jamie Mullarkey,2,loss,Fares Ziam,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
121,Jamie Mullarkey,1,loss,Brad Riddell,UFC 243: Whittaker vs. Adesanya,"Oct. 05, 2019"
122,Fares Ziam,2,win,Jamie Mullarkey,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
123,Fares Ziam,1,loss,Don Madge,UFC 242: Khabib vs. Poirier,"Sep. 07, 2019"
124,Gadzhimurad Antigulov,6,loss,Maxim Grishin,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
125,Gadzhimurad Antigulov,5,loss,Paul Craig,UFC Fight Night: Whittaker vs. Till,"Jul. 25, 2020"
126,Gadzhimurad Antigulov,4,loss,Michal Oleksiejczuk,UFC Fight Night: Overeem vs. Oleinik,"Apr. 20, 2019"
127,Gadzhimurad Antigulov,3,loss,Ion Cutelaba,UFC Fight Night: Alvarez vs. Poirier 2,"Jul. 28, 2018"
128,Gadzhimurad Antigulov,2,win,Joachim Christensen,UFC 211: Miocic vs. Dos Santos,"May. 13, 2017"
129,Gadzhimurad Antigulov,1,win,Marcos Rogerio de Lima,UFC Fight Night: Bader vs. Nogueira,"Nov. 19, 2016"
130,Maxim Grishin,2,win,Gadzhimurad Antigulov,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
131,Maxim Grishin,1,loss,Marcin Tybura,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020"
132,Said Nurmagomedov,4,win,Mark Striegl,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
133,Said Nurmagomedov,3,loss,Raoni Barcelos,UFC Fight Night: Edgar vs. The Korean Zombie,"Dec. 21, 2019"
134,Said Nurmagomedov,2,win,Ricardo Ramos,UFC Fight Night: Assuncao vs. Moraes 2,"Feb. 02, 2019"
135,Said Nurmagomedov,1,win,Justin Scoggins,UFC Fight Night: Dos Santos vs. Ivanov,"Jul. 14, 2018"
136,Mark Striegl,1,loss,Said Nurmagomedov,UFC Fight Night: Ortega vs. The Korean Zombie,"Oct. 17, 2020"
137,Cory Sandhagen,7,win,Marlon Moraes,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
138,Cory Sandhagen,6,loss,Aljamain Sterling,UFC 250: Nunes vs. Spencer,"Jun. 06, 2020"
139,Cory Sandhagen,5,win,Raphael Assuncao,UFC 241: Cormier vs. Miocic 2,"Aug. 17, 2019"
140,Cory Sandhagen,4,win,John Lineker,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019"
141,Cory Sandhagen,3,win,Mario Bautista,UFC Fight Night: Cejudo vs. Dillashaw,"Jan. 19, 2019"
142,Cory Sandhagen,2,win,Iuri Alcantara,UFC Fight Night: Gaethje vs. Vick,"Aug. 25, 2018"
143,Cory Sandhagen,1,win,Austin Arnett,UFC Fight Night: Jacare vs. Brunson 2,"Jan. 27, 2018"
144,Marlon Moraes,8,loss,Cory Sandhagen,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
145,Marlon Moraes,7,win,Jose Aldo,UFC 245: Usman vs. Covington,"Dec. 14, 2019"
146,Marlon Moraes,6,loss,Henry Cejudo,UFC 238: Cejudo vs. Moraes,"Jun. 08, 2019"
147,Marlon Moraes,5,win,Raphael Assuncao,UFC Fight Night: Assuncao vs. Moraes 2,"Feb. 02, 2019"
148,Marlon Moraes,4,win,Jimmie Rivera,UFC Fight Night: Rivera vs. Moraes,"Jun. 01, 2018"
149,Marlon Moraes,3,win,Aljamain Sterling,UFC Fight Night: Swanson vs. Ortega,"Dec. 09, 2017"
150,Marlon Moraes,2,win,John Dodson,UFC Fight Night: Poirier vs. Pettis,"Nov. 11, 2017"
151,Marlon Moraes,1,loss,Raphael Assuncao,UFC 212: Aldo vs. Holloway,"Jun. 03, 2017"
152,Edson Barboza,24,win,Makwan Amirkhani,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
153,Edson Barboza,23,loss,Dan Ige,UFC Fight Night: Overeem vs. Harris,"May. 16, 2020"
154,Edson Barboza,22,loss,Paul Felder,UFC 242: Khabib vs. Poirier,"Sep. 07, 2019"
155,Edson Barboza,21,loss,Justin Gaethje,UFC Fight Night: Barboza vs. Gaethje,"Mar. 30, 2019"
156,Edson Barboza,20,win,Dan Hooker,UFC Fight Night: Lee vs. Iaquinta,"Dec. 15, 2018"
157,Edson Barboza,19,loss,Kevin Lee,UFC Fight Night: Barboza vs. Lee,"Apr. 21, 2018"
158,Edson Barboza,18,loss,Khabib Nurmagomedov,UFC 219: Cyborg vs. Holm,"Dec. 30, 2017"
159,Edson Barboza,17,win,Beneil Dariush,UFC Fight Night: Belfort vs. Gastelum,"Mar. 11, 2017"
160,Edson Barboza,16,win,Gilbert Melendez,UFC on FOX: Holm vs. Shevchenko,"Jul. 23, 2016"
161,Edson Barboza,15,win,Anthony Pettis,UFC 197: Jones vs Saint Preux,"Apr. 23, 2016"
162,Edson Barboza,14,loss,Tony Ferguson,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Dec. 11, 2015"
163,Edson Barboza,13,win,Paul Felder,UFC on FOX: Dillashaw vs. Barao II,"Jul. 25, 2015"
164,Edson Barboza,12,loss,Michael Johnson,UFC Fight Night: Bigfoot vs Mir,"Feb. 22, 2015"
165,Edson Barboza,11,win,Bobby Green,UFC Fight Night: Edgar vs Swanson,"Nov. 22, 2014"
166,Edson Barboza,10,win,Evan Dunham,UFC Fight Night: Cowboy vs Miller,"Jul. 16, 2014"
167,Edson Barboza,9,loss,Donald Cerrone,UFC on FOX: Werdum vs Browne,"Apr. 19, 2014"
168,Edson Barboza,8,win,Danny Castillo,UFC on FOX: Johnson vs. Benavidez 2,"Dec. 14, 2013"
169,Edson Barboza,7,win,Rafaello Oliveira,UFC 162: Silva vs Weidman,"Jul. 06, 2013"
170,Edson Barboza,6,win,Lucas Martins,UFC on FX: Belfort vs Bisping,"Jan. 19, 2013"
171,Edson Barboza,5,loss,Jamie Varner,UFC 146: Dos Santos vs Mir,"May. 26, 2012"
172,Edson Barboza,4,win,Terry Etim,UFC 142: Aldo vs Mendes,"Jan. 14, 2012"
173,Edson Barboza,3,win,Ross Pearson,UFC 134: Silva vs Okami,"Aug. 27, 2011"
174,Edson Barboza,2,win,Anthony Njokuani,UFC 128: Shogun vs Jones,"Mar. 19, 2011"
175,Edson Barboza,1,win,Mike Lullo,UFC 123: Rampage vs Machida,"Nov. 20, 2010"
176,Makwan Amirkhani,9,loss,Edson Barboza,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
177,Makwan Amirkhani,8,win,Danny Henry,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020"
178,Makwan Amirkhani,7,loss,Shane Burgos,UFC 244: Masvidal vs. Diaz,"Nov. 02, 2019"
179,Makwan Amirkhani,6,win,Chris Fishgold,UFC Fight Night: Gustafsson vs. Smith,"Jun. 01, 2019"
180,Makwan Amirkhani,5,win,Jason Knight,UFC Fight Night: Thompson vs. Till,"May. 27, 2018"
181,Makwan Amirkhani,4,loss,Arnold Allen,UFC Fight Night: Manuwa vs. Anderson,"Mar. 18, 2017"
182,Makwan Amirkhani,3,win,Mike Wilkinson,UFC Fight Night: Silva vs Bisping,"Feb. 27, 2016"
183,Makwan Amirkhani,2,win,Masio Fullen,UFC Fight Night: Jedrzejczyk vs Penne,"Jun. 20, 2015"
184,Makwan Amirkhani,1,win,Andy Ogle,UFC on FOX: Gustafsson vs Johnson,"Jan. 24, 2015"
185,Marcin Tybura,12,win,Ben Rothwell,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
186,Marcin Tybura,11,win,Maxim Grishin,UFC 251: Usman vs. Masvidal,"Jul. 11, 2020"
187,Marcin Tybura,10,win,Serghei Spivac,UFC Fight Night: Benavidez vs. Figueiredo,"Feb. 29, 2020"
188,Marcin Tybura,9,loss,Augusto Sakai,UFC Fight Night: Cowboy vs. Gaethje,"Sep. 14, 2019"
189,Marcin Tybura,8,loss,Shamil Abdurakhimov,UFC Fight Night: Overeem vs. Oleinik,"Apr. 20, 2019"
190,Marcin Tybura,7,win,Stefan Struve,UFC Fight Night: Shogun vs. Smith,"Jul. 22, 2018"
191,Marcin Tybura,6,loss,Derrick Lewis,UFC Fight Night: Cerrone vs. Medeiros,"Feb. 18, 2018"
192,Marcin Tybura,5,loss,Fabricio Werdum,UFC Fight Night: Werdum vs. Tybura,"Nov. 18, 2017"
193,Marcin Tybura,4,win,Andrei Arlovski,UFC Fight Night: Holm vs. Correia,"Jun. 17, 2017"
194,Marcin Tybura,3,win,Luis Henrique,UFC 209: Woodley vs. Thompson 2,"Mar. 04, 2017"
195,Marcin Tybura,2,win,Viktor Pesta,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016"
196,Marcin Tybura,1,loss,Timothy Johnson,UFC Fight Night: Rothwell vs Dos Santos,"Apr. 10, 2016"
197,Ben Rothwell,23,loss,Marcin Tybura,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
198,Ben Rothwell,22,win,Ovince Saint Preux,UFC Fight Night: Smith vs. Teixeira,"May. 13, 2020"
199,Ben Rothwell,21,win,Stefan Struve,UFC Fight Night: Overeem vs. Rozenstruik,"Dec. 07, 2019"
200,Ben Rothwell,20,loss,Andrei Arlovski,UFC Fight Night: Dos Anjos vs. Edwards,"Jul. 20, 2019"
201,Ben Rothwell,19,loss,Blagoy Ivanov,UFC Fight Night: Lewis vs. Dos Santos,"Mar. 09, 2019"
202,Ben Rothwell,18,loss,Junior Dos Santos,UFC Fight Night: Rothwell vs Dos Santos,"Apr. 10, 2016"
203,Ben Rothwell,17,win,Josh Barnett,UFC on FOX: Johnson vs. Bader,"Jan. 30, 2016"
204,Ben Rothwell,16,win,Matt Mitrione,UFC Fight Night: Boetsch vs Henderson,"Jun. 06, 2015"
205,Ben Rothwell,15,win,Alistair Overeem,UFC Fight Night: Jacare vs Mousasi,"Sep. 05, 2014"
206,Ben Rothwell,14,win,Brandon Vera,UFC 164: Henderson vs Pettis 2,"Aug. 31, 2013"
207,Ben Rothwell,13,loss,Gabriel Gonzaga,UFC on FX: Belfort vs Bisping,"Jan. 19, 2013"
208,Ben Rothwell,12,win,Brendan Schaub,UFC 145: Jones vs Evans,"Apr. 21, 2012"
209,Ben Rothwell,11,loss,Mark Hunt,UFC 135: Jones vs Rampage,"Sep. 24, 2011"
210,Ben Rothwell,10,win,Gilbert Yvel,UFC 115: Liddell vs Franklin,"Jun. 12, 2010"
211,Ben Rothwell,9,loss,Cain Velasquez,UFC 104: Machida vs Shogun,"Oct. 24, 2009"
212,Ben Rothwell,8,win,Chris Guillen,Adrenaline MMA 2: Miletich vs. Denny,"Dec. 11, 2008"
213,Ben Rothwell,7,loss,Andrei Arlovski,Affliction - Banned,"Jul. 19, 2008"
214,Ben Rothwell,6,win,Ricco Rodriguez,IFL - 2007 Team Championship Final,"Sep. 20, 2007"
215,Ben Rothwell,5,win,Krzysztof Soszynski,IFL - 2007 Semifinals,"Aug. 02, 2007"
216,Ben Rothwell,4,win,Roy Nelson,IFL - Moline,"Apr. 07, 2007"
217,Ben Rothwell,3,win,Devin Cole,IFL - Championship Final,"Dec. 29, 2006"
218,Ben Rothwell,2,win,Bryan Vetell,IFL - Gracie vs. Miletich,"Sep. 23, 2006"
219,Ben Rothwell,1,win,Krzysztof Soszynski,IFL - Legends Championship 2006,"Apr. 29, 2006"
220,Dricus Du Plessis,1,win,Markus Perez,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
221,Markus Perez,6,loss,Dricus Du Plessis,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
222,Markus Perez,5,loss,Wellington Turman,UFC Fight Night: Blachowicz vs. Jacare,"Nov. 16, 2019"
223,Markus Perez,4,win,Anthony Hernandez,UFC Fight Night: Assuncao vs. Moraes 2,"Feb. 02, 2019"
224,Markus Perez,3,loss,Andrew Sanchez,UFC Fight Night: Gaethje vs. Vick,"Aug. 25, 2018"
225,Markus Perez,2,win,James Bochnovic,UFC 224: Nunes vs. Pennington,"May. 12, 2018"
226,Markus Perez,1,loss,Eryk Anders,UFC Fight Night: Swanson vs. Ortega,"Dec. 09, 2017"
227,Tom Aspinall,2,win,Alan Baudot,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
228,Tom Aspinall,1,win,Jake Collier,UFC Fight Night: Whittaker vs. Till,"Jul. 25, 2020"
229,Alan Baudot,1,loss,Tom Aspinall,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
230,Ilia Topuria,1,win,Youssef Zalal,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
231,Youssef Zalal,4,loss,Ilia Topuria,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
232,Youssef Zalal,3,win,Peter Barrett,UFC Fight Night: Lewis vs. Oleinik,"Aug. 08, 2020"
233,Youssef Zalal,2,win,Jordan Griffin,UFC Fight Night: Poirier vs. Hooker,"Jun. 27, 2020"
234,Youssef Zalal,1,win,Austin Lingo,UFC 247: Jones vs. Reyes,"Feb. 08, 2020"
235,Tom Breese,7,win,KB Bhullar,UFC Fight Night: Moraes vs. Sandhagen,"Oct. 10, 2020"
236,Tom Breese,6,loss,Brendan Allen,UFC Fight Night: Benavidez vs. Figueiredo,"Feb. 29, 2020"
237,Tom Breese,5,win,Daniel Kelly,UFC Fight Night: Thompson vs. Till,"May. 27, 2018"
238,Tom Breese,4,loss,Sean Strickland,UFC 199: Rockhold vs. Bisping 2,"Jun. 04, 2016"
239,Tom Breese,3,win,Keita Nakamura,UFC Fight Night: Silva vs Bisping,"Feb. 27, 2016"
240,Tom Breese,2,win,Cathal Pendred,UFC Fight Night: Holohan vs Smolka,"Oct. 24, 2015"
