Uriah Hall
Pat Audinwood
Aaron Wilkinson
Tyler Toner
Sako Chivitchian
Fredson Paixao
Maiquel Falcao
Gerald Harris
Brian Foster
Karo Parisyan
Goran Reljic
Nick Osipczak
Alexandre Ferreira
Mark Scanlon
Seth Petruzelli
Gilbert Yvel
James Wilks
Vinicius Queiroz
Mark Holst
James McSweeney
Matt Serra
Sean Sherk
Steve Lopez
Julio Paulino
John Gunderson
Tomasz Drwal
Forrest Petz
James Toney
John Salter
Rodney Wallace
James Irvin
Steve Steinbeiss
Keith Jardine
Jamie Yager
Josh Bryant
James Hammortree
Chuck Liddell
David Loiseau
Jesse Lennox
Dan Lauzon
Joe Brammer
Jesse Forbes
Paul Daley
Kevin Ferguson
Jonathan Goulet
Yoshiyuki Yoshida
Renzo Gracie
Brad Blackburn
Matt Veach
Mostapha Al-Turk
Nate Quarry
Ronys Torres
Rob Emerson
Caol Uno
Lucio Linhares
Rory Markham
Paul Buentello
Shannon Gugerty
Chase Gormley
Mark Coleman
Frank Trigg
Justin Buchholz
Rolles Gracie
Jay Silva
Kyle Bradley
Wilson Gouveia
Shane Nelson
Kevin Burns
Houston Alexander
Marcus Jones
Darrill Schoonover
Justin Wren
Jake Rosholt
Brock Larson
Jason Dent
Denis Kang
Rolando Delgado
Antoni Hardonk
Razak Al-Hassan
Hermes Franca
Drew McFedries
Roger Huerta
Chris Wilson
Justin McCully
Marcus Aurelio
Dan Cramer
Danillo Villefort
Jake O'Brien
Mike Ciesnolevicz
Frank Lester
Cameron Dollar
Dale Hartt
Denis Stojnic
Xavier Foupa-Pokam
Andre Gusmao
Brandon Wolff
David Kaplan
David Bielkheden
Ryo Chonan
Carmelo Marrero
Junie Browning
Matt Horwich
Jesse Sanders
Nissen Osterneck
Joe Vedepo
Tim McKenzie
Pete Sell
Ryan Madigan
Jason Day
Michael Patt
Brian Cobb
Per Eklund
Neil Grove
Troy Mandaloniz
Luigi Fioravanti
Rich Clementi
Derek Downey
Steve Bruno
Akihiro Gono
Christian Wellisch
Matt Arroyo
Jeremy Horn
Tom Egan
Alexandre Barros
Antonio Mendes
Ivan Serati
Nate Mohr
Dean Lister
Mike Wessel
Reese Andy
Dan Evensen
Shane Primm
Jules Bruchez
John Polakowski
Nate Loughran
Brodie Farber
Johnny Rees
Corey Hill
Eddie Sanchez
Josh Hendricks
Jorge Gurgel
Alvin Robinson
Ryan Thomas
Rameau Thierry Sokoudjou
Neil Wain
Jess Liaudin
David Baron
Samy Schiavo
Brad Morris
Jason Lambert
Heath Herring
Luke Cummo
Cale Yarbrough
James Giboo
Evan Tanner
Dante Rivera
Marvin Eastman
Rob Yundt
Ivan Salaverry
Kazuhiro Nakamura
War Machine
Jason Tan
Travis Lutter
Kalib Starnes
Charles McCarthy
Kuniyoshi Hironaka
Din Thomas
Ryan Roberts
Jeff Cox
Roman Mitichyan
Tommy Speer
John Halverson
Tim Sylvia
David Heath
Terry Martin
Alberto Crane
Joe Veres
Colin Robinson
James Lee
Jordan Radev
Tony DeSouza
Doug Evans
Jared Rollins
Billy Miles
Dan Barrera
Richie Hightower
John Kolosci
Dorian Price
Paul Georgieff
Luke Caudillo
Jason Black
Diego Saraiva
Scott Junk
Edilberto de Oliveira
Anthony Torres
Renato Sobral
Mike Nickels
Jason Gilliam
Jens Pulver
Floyd Sword
Brandon Melendez
Andy Wang
Allen Berube
Brian Geraghty
Hector Ramirez
Rory Singer
Scott Smith
Stevie Lynch
Pete Spratt
Chad Reiner
Sean Salmon
Elvis Sinosic
Assuerio Silva
David Lee
Victor Valimaki
Brad Imes
Josh Haynes
Dokonjonosuke Mishima
Drew Fickett
Rex Holman
Sam Hoger
Chris Price
Ross Pointon
Marcio Cruz
Jeff Joslin
Shonie Carter
Dave Menne
Logan Clark
Steve Byrnes
Jeff Monson
Sherman Pendergarst
Josh Shockman
Edwin DeWees
Jeremy Jackson
Gideon Ray
Justin James
Ken Shamrock
Crafton Wallace
Mario Neto
Danny Abbadi
Rob MacDonald
Wes Combs
Cory Walmsley
Yuki Sasaki
Jason Von Flue
Kristof Midoux
Sammy Morgan
Dan Christison
Joe Jordan
Gilbert Aldana
Branden Lee Hinkle
Kristian Rothaermel
Justin Levens
Solomon Hutcherson
Royce Gracie
Fabiano Scherner
Rick Davis
Nick Thompson
David Terrell
Derrick Noble
Ansar Chalangov
Trevor Prangley
Steve Vigneault
Tom Murphy
Icho Larenas
Justin Eilers
Mike van Arsdale
Mike Whitehead
Alex Karalexis
Kevin Jordan
Jeff Newton
Kit Cope
Kerry Schall
Sean Gannon
Keigo Kunihara
Ron Faircloth
Tra Telligman
Brian Gassaway
Matt Lindland
Bill Mahood
Koji Oishi
Travis Wiuff
John Marsh
Bobby Southworth
Jason Thacker
Chris Sanford
Lodune Sincaid
Alex Schoenauer
Josh Rafferty
Mike Kyle
Renato Verissimo
Tony Fryklund
Vernon White
Ronald Jhun
Kimo Leopoldo
Curtis Stout
Tiki Ghosn
Wesley Correira
Wes Sims
Jonathan Wiezorek
Wade Shipp
Genki Sudo
Carlos Newton
Lee Murray
Falaniko Vitale
David Abbott
Pedro Rizzo
Ricco Rodriguez
Keith Rockel
Chris Liguori
Nick Agallar
Gan McGee
Dave Strasser
Gerald Strebendt
Ian Freeman
Eddie Ruiz
Romie Aram
Sean Alvarez
Richard Crunkilton
Mark Weir
Alexandre Dantas
Gil Castillo
Phillip Miller
Benji Radach
Eugene Jackson
Leigh Remedios
James Zikic
Chris Haseman
Nick Serra
Zach Light
Steve Berger
Rodrigo Ruas
Joao Pierini
Murilo Bustamante
Tsuyoshi Kohsaka
Paul Creighton
Amar Suloev
Andrei Semenov
Hayato Sakurai
Pat Miletich
Pete Williams
Kelly Dullanty
Jutaro Nakao
Kevin Randleman
Chris Brennan
Bobby Hoffman
Homer Moore
Roberto Traven
Fabiano Iha
Semmy Schilt
Yuki Kondo
Paul Rodriguez
Joey Gilbert
Phil Johns
Mark Robinson
Kenichi Yamamoto
Yoji Anjo
Daiju Takase
Lance Gibson
Maurice Smith
Aaron Brink
John Lewis
Mark Hughes
Alex Stiebling
Ben Earwood
Dan Severn
Laverne Clark
Tedd Williams
Tim Lajcik
Brad Gumm
CJ Fernandes
Tyrone Roberts
David Dodd
Amaury Bitetti
Alex Andrade
Marcelo Aguiar
Joao Roque
Nate Schroeder
Adrian Serrano
Sanae Kikuta
Ron Waterman
Satoshi Honma
Ikuhisa Minowa
Joe Slick
Steve Judson
Jermaine Andre
Bob Cook
David Velasquez
Scott Adams
Katsuhisa Fujii
Jason DeLucia
Keiichiro Yamamiya
Masutatsu Yano
Frank Shamrock
Jason Godsey
Brad Kohler
Paul Jones
Valeri Ignatov
Lowell Anderson
Alfonso Alcarez
Marco Ruas
Andre Pederneiras
Flavio Luiz Moura
Royce Alger
Andre Roberts
Travis Fulton
Bas Rutten
Tony Petarra
Marcelo Mello
David Roberts
Chris Condo
Guy Mezger
Gary Goodridge
Sione Latu
Joey Roberts
Jorge Patino
Jerry Bohlander
Mikey Burnett
Townsend Saunders
Darrel Gholar
Frank Caracci
John Lober
Ebenezer Fontes Braga
Tulio Palhares
Adriano Santos
Cesar Marscucci
Paulo Santos
Hugo Duarte
Joe Pardo
Bob Gilstrap
Allan Goes
Harry Moskowitz
Noe Hernandez
Igor Zinoviev
Kevin Jackson
Eugenio Tadeu
Courtney Turner
Josh Stuart
Kazushi Sakuraba
Marcus Silveira
Joe Charles
Mark Kerr
Dwayne Cason
Dave Beneteau
Carlos Barreto
Greg Stott
Houston Dorr
Alex Hunter
Dan Bobish
Brian Johnston
Moti Horenstein
Todd Butler
Joe Moreira
Yuri Vaulin
Sam Fulton
Donnie Chappell
Steven Graham
Tony Halme
Dmitri Stepanov
Enson Inoue
Christophe Leninger
Jack Nilson
Saeed Hosseini
Wes Albritton
Scott Ferrozzo
Nick Sanzo
Jim Mullen
Yoshiki Takahashi
Wallid Ismail
Rainy Martinez
Justin Martin
Eric Martin
Jackie Lee
Don Frye
Steve Nelmark
Mark Hall
Paul Varelans
Cal Worsham
Tai Bowden
Marcus Bossett
Felix Lee Mitchell
Fabio Gurgel
Sam Adkins
Reza Nasri
Julian Sanchez
Dave Berry
John Campetella
Scott Fiedler
Geza Kalman
Dieusel Berto
Koji Kitao
Mark Schultz
Rafael Carino
Matt Andersen
Zane Frazier
Paul Herrera
Thomas Ramirez
Keith Mielke
Oleg Taktarov
Keith Hackney
Steve Jennum
Trent Jenkins
Scott Bessac
Remco Pardoel
Larry Cureton
Ryan Parker
Harold Howard
Gerry Harris
David Hood
Onassis Parungao
Francesco Maturi
Joel Sutton
Anthony Macias
Patrick Smith
Rudyard Moncayo
John Matua
He-Man Gipson
Jack McGlaughlin
Todd Medina
Ernie Verdicia
Jon Hess
Andy Anderson
John Dowdy
Asbel Cancio
Melton Bowen
Joe Son
Ron van Clief
Jason Fairn
Eldo Xavier Dias
Kevin Rosier
Roland Payne
Emmanuel Yarborough
Johnny Rhodes
Orlando Wiet
Fred Ettish
Scott Morris
Minoki Ichihara
Scott Baker
Alberta Cerra Leon
Robert Lucarelli
Frank Hamaker
Thaddeus Luster
David Levicki
Ray Wizard
Sean Daugherty
